chr	start	end	name	strand	cluster_id	category
Chr5	178147098	178158933	Pno05G003609	-	C27	NL
Chr5	178160509	178164420	Pno05G003611	-	C27	NL
Chr9	114690040	114698272	Pno09G000889	+	C28	NL
Chr9	114786710	114790704	Pno09G000893	+	C28	NL
Chr7	165526606	165535804	Pno07G002937	-	C38	TNL
Chr7	165906805	165911319	Pno07G002957	+	C38	TNL
Chr7	165972691	165977201	Pno07G002961	+	C38	TNL
Chr7	165997994	166005626	Pno07G002962	+	C38	TNL
Chr7	166016758	166022036	Pno07G002964	+	C38	TNL
Chr11	3134586	3140414	Pno11G004415	+	C37	TNL
Chr11	3164739	3170394	Pno11G004480	+	C37	TNL
Chr11	3240933	3247673	Pno11G004623	+	C37	TNL
Chr11	3251470	3256693	Pno11G004641	+	C37	TNL
Chr6	191523765	191526821	Pno06G003765	-	C1	CN
Chr6	191534317	191538488	Pno06G003768	-	C1	CN
Chr6	191554526	191557127	Pno06G003770	+	C1	CN
Chr6	191562629	191565453	Pno06G003772	+	C1	CN
Chr6	191579293	191582118	Pno06G003777	-	C1	CN
Chr6	191586983	191596145	Pno06G003778	-	C1	CN
Chr8	24244994	24245817	Pno08G003475	-	C2	CN
Chr8	24364847	24374254	Pno08G003495	-	C2	CN
Chr1	216536870	216540338	Pno01G005007	+	C17	L
Chr1	216563226	216566608	Pno01G005010	+	C17	L
Chr1	221004475	221005466	Pno01G005313	-	C16	L
Chr1	221006042	221008587	Pno01G005314	-	C16	L
Chr1	221008774	221010093	Pno01G005315	-	C16	L
Chr1	221010280	221011826	Pno01G005316	-	C16	L
Chr1	221011855	221012509	Pno01G005317	-	C16	L
Chr2	193191859	193192844	Pno02G003858	-	C11	L
Chr2	193192984	193194415	Pno02G003859	-	C11	L
Chr2	193195003	193195804	Pno02G003860	-	C11	L
Chr2	194015448	194016510	Pno02G003906	+	C18	L
Chr2	194120727	194132449	Pno02G003913	+	C18	L
Chr4	153637775	153638474	Pno04G002402	-	C10	L
Chr4	153638759	153642822	Pno04G002403	-	C10	L
Chr5	175555217	175559376	Pno05G003461	+	C9	L
Chr5	175856785	175861697	Pno05G003475	-	C9	L
Chr6	195010631	195013970	Pno06G004032	+	C6	L
Chr6	195329243	195334237	Pno06G004067	-	C6	L
Chr6	24670960	24672192	Pno06G004757	+	C8	L
Chr6	24672466	24676062	Pno06G004758	+	C8	L
Chr6	24703733	24705306	Pno06G004762	+	C8	L
Chr6	24705431	24706926	Pno06G004763	+	C8	L
Chr6	34628881	34630133	Pno06G006041	-	C7	L
Chr6	34630180	34640767	Pno06G006042	-	C7	L
Chr6	34673883	34676238	Pno06G006047	+	C7	L
Chr6	34742018	34748248	Pno06G006062	+	C7	L
Chr6	34749531	34750701	Pno06G006063	+	C7	L
Chr6	34751498	34752738	Pno06G006064	-	C7	L
Chr6	34754617	34755338	Pno06G006065	-	C7	L
Chr7	173843562	173845951	Pno07G003562	-	C5	L
Chr7	173952883	173954952	Pno07G003574	-	C5	L
Chr7	173979648	173982830	Pno07G003580	+	C5	L
Chr8	5827348	5840231	Pno08G008254	-	C4	L
Chr8	6146260	6148716	Pno08G008791	+	C4	L
Chr8	6217553	6219652	Pno08G008903	-	C4	L
Chr9	109123073	109124500	Pno09G000528	-	C3	L
Chr9	109177109	109178356	Pno09G000531	-	C3	L
Chr10	14217715	14220273	Pno10G001268	-	C14	L
Chr10	14274175	14275258	Pno10G001276	+	C14	L
Chr10	22165005	22168873	Pno10G002245	+	C13	L
Chr10	22313100	22316119	Pno10G002265	+	C13	L
Chr10	524376	525253	Pno10G006579	+	C15	L
Chr10	811341	812509	Pno10G011421	+	C15	L
Chr12	4932471	4933890	Pno12G006570	+	C12	L
Chr12	4966839	4974936	Pno12G006614	+	C12	L
Chr1	37726498	37728263	Pno01G007318	-	C23	N
Chr1	37795428	37797495	Pno01G007333	-	C23	N
Chr1	49537323	49541776	Pno01G008976	+	C25	N
Chr1	49580414	49582268	Pno01G008984	+	C25	N
Chr1	49604795	49612242	Pno01G008988	+	C25	N
Chr1	49627689	49631985	Pno01G008990	+	C25	N
Chr3	183928183	183931953	Pno03G004067	-	C24	N
Chr3	184193763	184200098	Pno03G004082	+	C24	N
Chr3	184414719	184418657	Pno03G004095	-	C24	N
Chr4	10017630	10020862	Pno04G000005	+	C22	N
Chr4	10115793	10128368	Pno04G000039	+	C22	N
Chr4	6044724	6047875	Pno04G011669	+	C26	N
Chr4	6079697	6085041	Pno04G011744	+	C26	N
Chr4	6099712	6102175	Pno04G011768	-	C26	N
Chr4	6138710	6139902	Pno04G011836	+	C26	N
Chr4	6140074	6150363	Pno04G011839	+	C26	N
Chr4	72865917	72866878	Pno04G013755	-	C19	N
Chr4	73153089	73154266	Pno04G013820	-	C19	N
Chr4	9942975	9950758	Pno04G017996	+	C22	N
Chr4	9974978	9978381	Pno04G018040	+	C22	N
Chr5	178220446	178225333	Pno05G003617	-	C21	N
Chr5	178229909	178234488	Pno05G003618	-	C21	N
Chr8	34101158	34102923	Pno08G004656	+	C20	N
Chr8	34134869	34139448	Pno08G004662	+	C20	N
Chr5	183009822	183012235	Pno05G003917	+	C29	T
Chr5	183057078	183059318	Pno05G003920	-	C29	T
Chr5	183061486	183064203	Pno05G003921	+	C29	T
Chr3	183920811	183927037	Pno03G004066	+	C30	TN
Chr3	183966270	183971639	Pno03G004070	+	C30	TN
Chr4	15383017	15384731	Pno04G002409	+	C31	TN
Chr4	15436093	15437900	Pno04G002433	+	C31	TN
Chr7	165160523	165167634	Pno07G002914	+	C33	TN
Chr7	165392386	165396813	Pno07G002928	+	C33	TN
Chr7	165447553	165452025	Pno07G002929	+	C33	TN
Chr7	165480442	165484772	Pno07G002933	+	C33	TN
Chr7	165816496	165820910	Pno07G002949	+	C34	TN
Chr7	165829765	165835674	Pno07G002952	+	C34	TN
Chr7	165870035	165874395	Pno07G002953	+	C34	TN
Chr7	165943376	165948005	Pno07G002959	+	C34	TN
Chr7	7589226	7594850	Pno07G013564	-	C32	TN
Chr7	7598808	7603574	Pno07G013576	-	C32	TN
Chr8	31230538	31234614	Pno08G004300	+	C35	TN
Chr8	31258995	31263444	Pno08G004303	-	C35	TN
Chr8	33542036	33549150	Pno08G004582	+	C36	TN
Chr8	33578067	33585916	Pno08G004588	+	C36	TN
Chr8	33990862	33997326	Pno08G004643	+	C36	TN
Chr8	34076715	34090605	Pno08G004654	+	C36	TN
Chr8	34237251	34250528	Pno08G004678	+	C36	TN
Chr8	34298360	34304311	Pno08G004688	+	C36	TN
Chr8	34347937	34351667	Pno08G004693	+	C36	TN
