Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SUPERFAMILY	SSF81383	F-box domain	6	56	1.31E-5	T	24-04-2022	IPR036047	F-box-like domain superfamily
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	PANTHER	PTHR13318:SF91	F-BOX/LRR-REPEAT PROTEIN 3	11	602	1.5E-194	T	24-04-2022	-	-
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	396	644	2.4E-42	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	293	395	1.4E-19	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	220	292	4.5E-8	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SUPERFAMILY	SSF52047	RNI-like	145	375	7.26E-36	T	24-04-2022	-	-
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	PANTHER	PTHR13318	UNCHARACTERIZED	11	602	1.5E-194	T	24-04-2022	-	-
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	97	122	70.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	327	352	0.0017	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	148	173	29.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	65	90	110.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	482	507	2.1E-6	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	559	583	76.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	405	430	0.0069	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	250	275	0.055	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	174	199	3.5	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	353	378	0.0013	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	302	326	580.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	200	224	34.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	435	455	23.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	379	404	51.0	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	456	481	0.0048	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SMART	SM00367	LRR_CC_2	533	558	9.2E-5	T	24-04-2022	IPR006553	Leucine-rich repeat, cysteine-containing subtype
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	7	210	1.7E-23	T	24-04-2022	IPR032675	Leucine-rich repeat domain superfamily
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	SUPERFAMILY	SSF52047	RNI-like	349	597	2.35E-41	T	24-04-2022	-	-
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Pfam	PF13516	Leucine Rich repeat	558	577	0.025	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Pfam	PF13516	Leucine Rich repeat	458	479	0.76	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Pfam	PF13516	Leucine Rich repeat	353	376	0.022	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Pfam	PF13516	Leucine Rich repeat	433	453	1.3	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno07G002570	c778d7bec4403a4617323b28849947b9	645	Pfam	PF13516	Leucine Rich repeat	482	504	0.0017	T	24-04-2022	IPR001611	Leucine-rich repeat
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	PRINTS	PR00019	Leucine-rich repeat signature	379	392	1.6E-5	T	24-04-2022	-	-
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	PRINTS	PR00019	Leucine-rich repeat signature	307	320	1.6E-5	T	24-04-2022	-	-
Pno08G013936	34648c5a4263764e0265d7cf494850c9	747	Pfam	PF13855	Leucine rich repeat	569	628	4.7E-9	T	24-04-2022	IPR001611	Leucine-rich repeat
