ID	coverage
0	522
1	1160
2	433
3	160
4	328
5	465
6	1031
7	645
8	1117
9	320
10	907
11	572
12	333
13	1175
14	866
15	623
16	243
17	1127
18	857
19	276
20	211
21	879
22	1158
23	1133
24	1181
25	564
26	607
27	1035
28	211
29	1058
30	1002
31	904
32	304
33	240
34	190
35	784
36	1006
37	215
38	357
39	185
40	280
41	605
42	528
43	383
44	730
45	297
46	357
47	1176
48	718
49	1173
50	1185
51	536
52	542
53	328
54	488
55	422
56	362
57	368
58	316
59	728
60	995
61	1136
62	1177
63	316
64	407
65	366
66	574
67	389
68	1018
69	1127
70	1185
71	312
72	1124
73	843
74	915
75	1017
76	1225
77	480
78	498
79	1037
80	881
81	536
82	759
83	566
84	1013
85	475
86	920
87	699
88	822
89	879
90	313
91	747
92	159
93	834
94	530
95	590
96	1331
97	357
98	396
99	1060
100	971
101	782
102	458
103	504
104	836
105	510
106	305
107	675
108	583
109	652
110	1053
111	589
112	417
113	397
114	331
115	1016
116	957
117	627
118	617
119	511
120	947
121	217
122	1425
123	899
124	956
125	387
126	349
127	243
128	759
129	170
130	388
131	885
132	979
133	1312
134	830
135	354
136	314
137	1055
138	477
139	346
140	999
141	713
142	748
143	228
144	481
145	1129
146	393
147	619
148	1104
149	1139
150	257
151	1936
152	1191
153	821
154	1213
155	213
156	526
157	374
158	197
159	383
160	296
161	251
162	323
163	536
164	1019
165	931
166	333
167	528
168	650
169	183
170	582
171	853
172	545
173	903
174	1399
175	710
176	1085
177	630
178	345
179	677
180	363
181	398
182	103
183	803
184	1348
185	1274
186	665
187	1364
188	912
189	633
190	1172
191	964
192	1342
193	999
194	329
195	464
196	1191
197	744
198	1316
199	366
200	670
201	482
202	1779
203	203
204	607
205	439
206	695
207	666
208	953
209	511
210	715
211	996
212	328
213	394
214	241
215	309
216	459
217	1299
218	752
219	345
220	953
221	381
222	1073
223	171
224	418
225	1111
226	655
227	973
228	433
229	322
230	319
231	225
232	202
233	748
234	532
235	416
236	196
237	684
238	607
239	1235
240	108
241	1842
242	1173
243	1213
244	196
245	228
246	126
247	527
248	1081
249	335
250	983
251	596
252	183
253	363
254	921
255	466
256	284
257	411
258	851
259	1140
260	567
261	1998
262	650
263	496
264	330
265	988
266	209
267	330
268	413
269	512
270	1083
271	1123
272	448
273	514
274	314
275	986
276	310
277	959
278	486
279	379
280	987
281	129
282	1276
283	584
284	332
285	269
286	364
287	756
288	457
289	611
290	382
291	277
292	404
293	210
294	383
295	236
296	1438
297	1390
298	420
299	462
300	830
301	878
302	665
303	515
304	274
305	426
306	171
307	515
