chr	start	end	name	strand	cluster_id	category
Chr1	37600680	37604629	Pno01G007304	-	C1	Chr1
Chr5	178147098	178158933	Pno05G003609	-	C24	Chr5
Chr5	178160509	178164420	Pno05G003611	-	C24	Chr5
Chr9	114690040	114698272	Pno09G000889	+	C42	Chr9
Chr9	114786710	114790704	Pno09G000893	+	C42	Chr9
Chr11	123284109	123302581	Pno11G001045	-	C9	Chr11
Chr7	165078752	165132404	Pno07G002908	+	C31	Chr7
Chr7	165526606	165535804	Pno07G002937	-	C31	Chr7
Chr7	165906805	165911319	Pno07G002957	+	C31	Chr7
Chr7	165972691	165977201	Pno07G002961	+	C31	Chr7
Chr7	165997994	166005626	Pno07G002962	+	C31	Chr7
Chr7	166016758	166022036	Pno07G002964	+	C31	Chr7
Chr8	32186321	32195943	Pno08G004409	+	C38	Chr8
Chr11	3134586	3140414	Pno11G004415	+	C10	Chr11
Chr11	3164739	3170394	Pno11G004480	+	C10	Chr11
Chr11	3240933	3247673	Pno11G004623	+	C10	Chr11
Chr11	3251470	3256693	Pno11G004641	+	C10	Chr11
Chr7	24946938	24948858	Pno07G004930	-	C32	Chr7
Chr8	31558983	31568295	Pno08G004337	+	C37	Chr8
Chr10	22163643	22164180	Pno10G002244	-	C7	Chr10
Chr4	6179417	6183923	Pno04G011909	-	C20	Chr4
Chr6	191523765	191526821	Pno06G003765	-	C28	Chr6
Chr6	191534317	191538488	Pno06G003768	-	C28	Chr6
Chr6	191554526	191557127	Pno06G003770	+	C28	Chr6
Chr6	191562629	191565453	Pno06G003772	+	C28	Chr6
Chr6	191579293	191582118	Pno06G003777	-	C28	Chr6
Chr6	191586983	191596145	Pno06G003778	-	C28	Chr6
Chr7	31462011	31462969	Pno07G006016	+	C34	Chr7
Chr8	24244994	24245817	Pno08G003475	-	C36	Chr8
Chr8	24364847	24374254	Pno08G003495	-	C36	Chr8
Chr8	31573252	31581692	Pno08G004339	-	C37	Chr8
Chr10	26076082	26076758	Pno10G002704	-	C8	Chr10
Chr11	123381579	123387392	Pno11G001052	+	C9	Chr11
Chr1	216536870	216540338	Pno01G005007	+	C3	Chr1
Chr1	216563226	216566608	Pno01G005010	+	C3	Chr1
Chr1	221004475	221005466	Pno01G005313	-	C4	Chr1
Chr1	221006042	221008587	Pno01G005314	-	C4	Chr1
Chr1	221008774	221010093	Pno01G005315	-	C4	Chr1
Chr1	221010280	221011826	Pno01G005316	-	C4	Chr1
Chr1	221011855	221012509	Pno01G005317	-	C4	Chr1
Chr2	193191859	193192844	Pno02G003858	-	C14	Chr2
Chr2	193192984	193194415	Pno02G003859	-	C14	Chr2
Chr2	193195003	193195804	Pno02G003860	-	C14	Chr2
Chr2	194015448	194016510	Pno02G003906	+	C15	Chr2
Chr2	194120727	194132449	Pno02G003913	+	C15	Chr2
Chr3	183972850	183974928	Pno03G004072	-	C16	Chr3
Chr4	153637775	153638474	Pno04G002402	-	C19	Chr4
Chr4	153638759	153642822	Pno04G002403	-	C19	Chr4
Chr5	169288703	169292033	Pno05G003076	-	C22	Chr5
Chr5	175555217	175559376	Pno05G003461	+	C23	Chr5
Chr5	175856785	175861697	Pno05G003475	-	C23	Chr5
Chr6	191874653	191877000	Pno06G003790	+	C28	Chr6
Chr6	195010631	195013970	Pno06G004032	+	C29	Chr6
Chr6	195329243	195334237	Pno06G004067	-	C29	Chr6
Chr6	24670960	24672192	Pno06G004757	+	C26	Chr6
Chr6	24672466	24676062	Pno06G004758	+	C26	Chr6
Chr6	24703733	24705306	Pno06G004762	+	C26	Chr6
Chr6	24705431	24706926	Pno06G004763	+	C26	Chr6
Chr6	34628881	34630133	Pno06G006041	-	C27	Chr6
Chr6	34630180	34640767	Pno06G006042	-	C27	Chr6
Chr6	34673883	34676238	Pno06G006047	+	C27	Chr6
Chr6	34742018	34748248	Pno06G006062	+	C27	Chr6
Chr6	34749531	34750701	Pno06G006063	+	C27	Chr6
Chr6	34751498	34752738	Pno06G006064	-	C27	Chr6
Chr6	34754617	34755338	Pno06G006065	-	C27	Chr6
Chr7	165889646	165891248	Pno07G002956	+	C31	Chr7
Chr7	173843562	173845951	Pno07G003562	-	C30	Chr7
Chr7	173952883	173954952	Pno07G003574	-	C30	Chr7
Chr7	173979648	173982830	Pno07G003580	+	C30	Chr7
Chr8	5827348	5840231	Pno08G008254	-	C35	Chr8
Chr8	6146260	6148716	Pno08G008791	+	C35	Chr8
Chr8	6217553	6219652	Pno08G008903	-	C35	Chr8
Chr9	109123073	109124500	Pno09G000528	-	C41	Chr9
Chr9	109177109	109178356	Pno09G000531	-	C41	Chr9
Chr9	115164731	115177371	Pno09G000920	-	C42	Chr9
Chr10	14217715	14220273	Pno10G001268	-	C6	Chr10
Chr10	14274175	14275258	Pno10G001276	+	C6	Chr10
Chr10	22165005	22168873	Pno10G002245	+	C7	Chr10
Chr10	22313100	22316119	Pno10G002265	+	C7	Chr10
Chr10	524376	525253	Pno10G006579	+	C5	Chr10
Chr10	811341	812509	Pno10G011421	+	C5	Chr10
Chr11	2787643	2788956	Pno11G003820	-	C10	Chr11
Chr11	3438015	3444270	Pno11G004945	-	C10	Chr11
Chr12	4932471	4933890	Pno12G006570	+	C12	Chr12
Chr12	4966839	4974936	Pno12G006614	+	C12	Chr12
Chr1	37726498	37728263	Pno01G007318	-	C1	Chr1
Chr1	37795428	37797495	Pno01G007333	-	C1	Chr1
Chr1	49537323	49541776	Pno01G008976	+	C2	Chr1
Chr1	49580414	49582268	Pno01G008984	+	C2	Chr1
Chr1	49604795	49612242	Pno01G008988	+	C2	Chr1
Chr1	49627689	49631985	Pno01G008990	+	C2	Chr1
Chr3	183928183	183931953	Pno03G004067	-	C16	Chr3
