cluster_id	category	chr	start	end	n_features	n_bystanders
C1	Chr1	Chr1	37600680	37797495	3	NA
C2	Chr1	Chr1	49537323	49631985	4	NA
C3	Chr1	Chr1	216536870	216566608	2	NA
C4	Chr1	Chr1	221004475	221012509	5	NA
C5	Chr10	Chr10	524376	812509	2	NA
C6	Chr10	Chr10	14217715	14275258	2	NA
C7	Chr10	Chr10	22162299	22316119	4	NA
C8	Chr10	Chr10	26075001	26076758	2	NA
C9	Chr11	Chr11	123284109	123532416	3	NA
C10	Chr11	Chr11	2787643	3444270	6	NA
C11	Chr11	Chr11	115353791	115368973	2	NA
C12	Chr12	Chr12	4932471	4974936	2	NA
C13	Chr12	Chr12	9862201	9897966	2	NA
C14	Chr2	Chr2	193191859	193195804	3	NA
C15	Chr2	Chr2	194015448	194132449	2	NA
C16	Chr3	Chr3	183920811	184663483	7	NA
C17	Chr4	Chr4	72865917	73154266	2	NA
C18	Chr4	Chr4	15383017	15437900	2	NA
C19	Chr4	Chr4	153637775	153642822	2	NA
C20	Chr4	Chr4	6044724	6183923	6	NA
C21	Chr4	Chr4	9942975	10128368	4	NA
C22	Chr5	Chr5	169288703	169312221	2	NA
C23	Chr5	Chr5	175555217	175861697	2	NA
C24	Chr5	Chr5	178147098	178234488	4	NA
C25	Chr5	Chr5	183009822	183064203	3	NA
C26	Chr6	Chr6	24670960	24706926	4	NA
C27	Chr6	Chr6	34628881	34755338	7	NA
C28	Chr6	Chr6	191523765	191877000	7	NA
C29	Chr6	Chr6	195010631	195334237	2	NA
C30	Chr7	Chr7	173843562	173982830	3	NA
C31	Chr7	Chr7	165078752	166022036	16	NA
C32	Chr7	Chr7	24944838	24948858	2	NA
C33	Chr7	Chr7	7588097	7603574	3	NA
C34	Chr7	Chr7	31462011	31475175	2	NA
C35	Chr8	Chr8	5827348	6219652	4	NA
C36	Chr8	Chr8	24242145	24374254	3	NA
C37	Chr8	Chr8	31230538	31581692	4	NA
C38	Chr8	Chr8	32186321	32216337	2	NA
C39	Chr8	Chr8	33542036	34351667	9	NA
C40	Chr8	Chr8	36955054	37001304	2	NA
C41	Chr9	Chr9	109123073	109178356	2	NA
C42	Chr9	Chr9	114690040	115177371	3	NA
