Pno01G005483.t1	Pno01G005033.t2
Pno01G005544.t1	Pno01G005040.t3
Pno01G005828.t1	Pno01G005055.t1
Pno01G005829.t1	Pno01G005058.t1
Pno01G005897.t1	Pno01G005088.t1
Pno01G006072.t2	Pno01G005092.t1
Pno01G000527.t2	Pno01G004765.t1
Pno01G000535.t1	Pno01G004763.t1
Pno01G000542.t2	Pno01G004760.t2
Pno01G000545.t2	Pno01G004757.t1
Pno01G000558.t1	Pno01G004741.t6
Pno01G000568.t2	Pno01G004737.t2
Pno01G000599.t1	Pno01G004735.t1
Pno01G000636.t1	Pno01G004716.t1
Pno01G006165.t1	Pno01G002002.t1
Pno01G006238.t1	Pno01G001895.t1
Pno01G006400.t1	Pno01G001832.t2
Pno01G006416.t2	Pno01G001818.t1
Pno01G006555.t1	Pno01G001725.t1
Pno01G006745.t1	Pno01G001684.t1
Pno01G006864.t1	Pno01G001662.t1
Pno01G005118.t1	Pno10G006388.t1
Pno01G005119.t1	Pno10G006537.t1
Pno01G005144.t1	Pno10G006868.t1
Pno01G005148.t1	Pno10G006940.t1
Pno01G005151.t1	Pno10G007002.t1
Pno01G005159.t1	Pno10G007276.t1
Pno01G005161.t1	Pno10G007281.t1
Pno01G005169.t3	Pno10G007347.t1
Pno01G005192.t1	Pno10G007633.t1
Pno01G005193.t1	Pno10G007672.t1
Pno01G005200.t1	Pno10G008061.t1
Pno01G005225.t1	Pno10G008209.t1
Pno01G005237.t1	Pno10G008317.t4
Pno01G005239.t1	Pno10G008334.t2
Pno01G008005.t1	Pno10G000139.t1
Pno01G008344.t1	Pno10G000214.t1
Pno01G008348.t1	Pno10G000215.t1
Pno01G008359.t1	Pno10G000216.t1
Pno01G008551.t2	Pno10G000228.t1
Pno01G009078.t3	Pno10G000324.t1
Pno01G009213.t1	Pno10G000387.t1
Pno01G009274.t2	Pno10G000448.t1
Pno01G009358.t1	Pno10G000458.t1
Pno01G009517.t1	Pno10G000605.t2
Pno01G009535.t1	Pno10G000606.t1
Pno01G009604.t2	Pno10G000629.t3
Pno01G009789.t1	Pno10G000646.t1
Pno01G010033.t1	Pno10G000726.t1
Pno01G004610.t1	Pno10G000844.t1
Pno01G004628.t1	Pno10G000872.t1
Pno01G004634.t1	Pno10G000883.t1
Pno01G004644.t1	Pno10G000924.t1
Pno01G004648.t1	Pno10G000928.t1
Pno01G004649.t1	Pno10G000929.t1
Pno01G004660.t1	Pno10G000971.t1
Pno01G004676.t1	Pno10G000988.t1
