Seq_1	Seq_2	Ka	Ks	Ka_Ks	EffectiveLen	AverageS-sites	AverageN-sites	cN	cS	pN	pS	Note
Pno01G005483.t1	Pno01G005033.t2	0.40486839073776654	2.275136378953242	0.17795346005765192	654.0	150.58333333333326	503.41666666666674	157.5	107.5	0.3128621089223638	0.7138904261206424	
Pno01G005544.t1	Pno01G005040.t3	0.18064992903693813	1.5601982588512526	0.11578652136809049	1014.0	236.41666666666697	777.583333333333	124.83333333333333	155.16666666666666	0.1605401350337585	0.6563271060979899	
Pno01G005828.t1	Pno01G005055.t1	0.27875116120794885	1.6197626340614573	0.17209383359399832	657.0	139.41666666666657	517.5833333333335	120.49999999999999	92.5	0.23281275156979542	0.6634787806335928	
Pno01G005829.t1	Pno01G005058.t1	0.15253651946410798	1.5218802404947023	0.10022899003835181	2007.0	449.91666666666526	1557.0833333333346	214.91666666666666	293.0833333333333	0.13802515386673792	0.6514169290609392	
Pno01G005897.t1	Pno01G005088.t1	0.26256964497715385	1.5764159723515863	0.1665611422253423	1227.0	286.5833333333336	940.4166666666665	208.33333333333334	188.66666666666666	0.22153300841825438	0.6583309101482983	
Pno01G006072.t2	Pno01G005092.t1	0.28618440776049575	1.772294362239843	0.16147679181172425	663.0	161.41666666666669	501.5833333333333	119.33333333333333	109.66666666666667	0.23791327463033726	0.6794011357769747	
Pno01G000527.t2	Pno01G004765.t1	0.1925023378665225	1.3982535644713279	0.13767341114507123	492.0	113.08333333333326	378.91666666666674	64.33333333333334	71.66666666666669	0.16978227402683088	0.6337509211495953	
Pno01G000535.t1	Pno01G004763.t1	0.07004877942354623	1.6390687728037912	0.04273693733040913	2892.0	674.0000000000008	2217.999999999999	148.33333333333334	448.6666666666667	0.06687706642620983	0.6656775469831842	
Pno01G000542.t2	Pno01G004760.t2	0.13739888556856436	1.4586958730288977	0.09419296243243871	759.0	169.58333333333348	589.4166666666665	74.0	109.0	0.12554785805174612	0.6427518427518422	
Pno01G000545.t2	Pno01G004757.t1	0.01457683297547651	1.4342326127848946	0.010163506843685707	360.0	82.91666666666663	277.08333333333337	4.0	53.0	0.014436090225563908	0.6391959798994978	
Pno01G000558.t1	Pno01G004741.t6	0.6430382097498991	1.4751685442429656	0.4359082982479786	1263.0	270.25000000000034	992.7499999999997	428.66666666666674	174.33333333333334	0.43179719634013286	0.6450817144619172	
Pno01G000568.t2	Pno01G004737.t2	0.29832228888678997	2.735045822717301	0.10907396373725219	1662.0	363.24999999999915	1298.750000000001	319.6666666666667	265.3333333333333	0.24613410330445926	0.730442762101401	
